city,district,ward,final_ranking,lat,lon,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 21,14,10.7905222,106.707997,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 22,4,10.7927545,106.7191314,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 24,10,10.7957801,106.6953508,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 25,5,10.8050639,106.7173289,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 26,7,10.8125673,106.7107414,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 27,16,10.8164453,106.7204618,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 28,22,10.8217566,106.7302465,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 3,13,10.8003808,106.6959459,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 5,17,10.811682,106.6876316,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 6,21,10.8050639,106.7173289,
TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 7,18,10.8068765,106.6925668,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 1,18,10.8176678,106.6886186,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 10,7,10.8329132,106.6709112,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 11,10,10.8391193,106.6614456,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 12,9,10.8359424,106.6406902,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 13,19,10.8187905,106.6791511,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 14,5,10.8476354,106.6417776,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 15,17,10.8525115,106.6709227,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 16,11,10.8464989,106.666088,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 17,12,10.8408087,106.6751861,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 3,8,10.8187905,106.6791511,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 4,20,10.8187905,106.6791511,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 5,6,10.8275313,106.693511,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 6,13,10.8426122,106.6834563,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 7,14,10.8408087,106.6751861,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 8,15,10.840303,106.6504668,
TP. Hồ Chí Minh,Quận Gò Vấp,Phường 9,16,10.8085766,106.674305,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 1,25,10.7986961,106.6826391,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 10,22,10.7953652,106.6711121,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 11,17,10.7925588,106.6761809,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 13,21,10.7909778,106.6693146,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 15,24,10.7962988,106.6796145,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 17,27,10.7922773,106.6820861,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 2,18,10.7982822,106.6859046,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 3,26,10.7987922,106.6801889,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 4,23,10.8073372,106.6793266,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 5,19,10.8058195,106.683768,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 7,16,10.8008414,106.6885708,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 8,20,10.7980573,106.6746959,
TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 9,15,10.8030061,106.6778362,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 1,17,10.7957897,106.666603,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 10,11,10.7821309,106.6466903,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 11,14,10.7890447,106.6480636,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 12,9,10.7999631,106.6504669,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 13,7,10.8036306,106.6428279,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 14,12,10.7937663,106.6419696,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 15,8,10.823527,106.6355752,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 2,6,10.8064128,106.667118,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 3,20,10.7933868,106.6628265,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 4,10,10.8006376,106.6586207,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 5,19,10.7902251,106.6619253,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 6,15,10.7841123,106.6589641,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 7,18,10.7883702,106.6560888,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 8,16,10.7834378,106.6526985,
TP. Hồ Chí Minh,Quận Tân Bình,Phường 9,13,10.7747532,106.6511964,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,18,10.7716335,106.6272497,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Hòa Thạnh,15,10.7786319,106.6376351,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,16,10.7799387,106.6271638,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,13,10.78563,106.6275072,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Phú Trung,17,10.7765239,106.6420126,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,11,10.8040522,106.6206836,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,10,10.7941456,106.6222286,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,12,10.7992044,106.6320132,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,14,10.790984,106.6344165,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Tân Thới Hòa,19,10.7635568,106.6308483,
TP. Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,9,10.812483,106.6237735,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường An Khánh,14,10.7916585,106.7318343,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường An Lợi Đông,34,10.7703265,106.7252683,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường An Phú,3,10.795031,106.7443656,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Bình Chiểu,13,10.8778137,106.7323493,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Bình Thọ,31,10.8456138,106.7663383,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Bình Trưng Đông,19,10.7862624,106.7747497,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Bình Trưng Tây,16,10.7858408,106.7617892,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Cát Lái,25,10.7779152,106.7688274,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Hiệp Bình Chánh,2,10.8322102,106.7247962,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Hiệp Bình Phước,4,10.8521046,106.7215346,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Hiệp Phú,20,10.847658,106.7797654,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Linh Chiểu,27,10.8537062,106.7638492,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Linh Đông,15,10.8483113,106.7471122,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Linh Tây,26,10.857921,106.754837,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Linh Trung,6,10.8596068,106.7805003,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Linh Xuân,18,10.879668,106.7712306,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Long Bình,9,10.867446,106.8392943,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Long Phước,35,10.8097011,106.8611809,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Long Thạnh Mỹ,10,10.8424104,106.8256473,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Long Trường,29,10.8020288,106.8134593,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Phú Hữu,7,10.7909556,106.7993184,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Phước Bình,33,10.8148436,106.7719173,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Phước Long A,24,10.8255924,106.7651796,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Phước Long B,5,10.8266462,106.7748355,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Tam Bình,28,10.8675336,106.7358533,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Tam Phú,23,10.862434,106.7441358,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Tân Phú,22,10.8611937,106.8071466,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Tăng Nhơn Phú A,17,10.8435063,106.7941474,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Tăng Nhơn Phú B,21,10.8356665,106.780672,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Thạnh Mỹ Lợi,12,10.7733621,106.7597722,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Thảo Điền,8,10.8074245,106.7329501,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Thủ Thiêm,32,10.7762685,106.7144193,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Trường Thạnh,30,10.8261404,106.8158626,
TP. Hồ Chí Minh,Thành Phố Thủ Đức,Phường Trường Thọ,11,10.836088,106.7567252,
