city,district,ward,final_ranking,sale,lat,lon
Hà Nội,Quận Hoàng Mai,Phường Hoàng Liệt,1,34183.00148,20.962423,105.8393925
Hà Nội,Quận Hoàng Mai,Phường Đại Kim,31,26564.41542,20.9730903,105.8250742
Hà Nội,Quận Hoàng Mai,Phường Định Công,61,24700.8609,20.9826495,105.8291858
Hà Nội,Quận Hoàng Mai,Phường Hoàng Văn Thụ,91,15721.60365,20.9862731,105.858834
Hà Nội,Quận Hoàng Mai,Phường Thịnh Liệt,121,13863.25752,20.9759193,105.8502634
Hà Nội,Quận Hoàng Mai,Phường Mai Động,151,13023.89125,20.9913448,105.8644046
Hà Nội,Quận Hoàng Mai,Phường Lĩnh Nam,181,12967.30204,20.9805771,105.8912598
Hà Nội,Quận Hoàng Mai,Phường Vĩnh Hưng,211,12818.15001,20.9879614,105.8752564
Hà Nội,Quận Hoàng Mai,Phường Yên Sở,241,10234.2691,20.9635712,105.8701509
Hà Nội,Quận Hoàng Mai,Phường Tương Mai,271,9794.921825,20.9879341,105.8501758
Hà Nội,Quận Hoàng Mai,Phường Tân Mai,301,8879.418103,20.9829654,105.8488998
Hà Nội,Quận Hoàng Mai,Phường Thanh Trì,331,8282.125431,20.9946479,105.8917139
Hà Nội,Quận Hoàng Mai,Phường Giáp Bát,361,6983.659352,20.9850298,105.8431539
Hà Nội,Quận Hoàng Mai,Phường Trần Phú,391,6701.244583,20.9711195,105.8832556
Hà Nội,Quận Nam Từ Liêm,Phường Tây Mỗ,2,33034.37469,21.0096762,105.7445572
Hà Nội,Quận Nam Từ Liêm,Phường Mễ Trì,32,32962.04234,21.0081098,105.7792886
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 2,62,25445.59059,21.0282405,105.7746453
Hà Nội,Quận Nam Từ Liêm,Phường Trung Văn,92,24245.05019,20.9921504,105.7838655
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1,122,19843.97289,21.021042,105.7690213
Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,152,16045.19767,21.0345973,105.7625765
Hà Nội,Quận Nam Từ Liêm,Phường Đại Mỗ,182,15378.60245,20.9932717,105.7630172
Hà Nội,Quận Nam Từ Liêm,Phường Phú Đô,212,10050.90009,21.0093455,105.7663513
Hà Nội,Quận Nam Từ Liêm,Phường Phương Canh,242,10004.65819,21.0426922,105.7390327
Hà Nội,Quận Nam Từ Liêm,Phường Xuân Phương,272,8843.344621,21.0287352,105.7474443
Hà Nội,Quận Hà Đông,Phường La Khê,3,21652.35882,20.9696783,105.7601018
Hà Nội,Quận Hà Đông,Phường Dương Nội,33,20397.39149,20.9809284,105.74637
Hà Nội,Quận Hà Đông,Phường Mộ Lao,63,18804.50081,20.9821715,105.7842539
Hà Nội,Quận Hà Đông,Phường Kiến Hưng,93,17295.89338,20.9527894,105.7875583
Hà Nội,Quận Hà Đông,Phường Yên Nghĩa,123,16592.83668,20.951446,105.7351127
Hà Nội,Quận Hà Đông,Phường Văn Quán,153,14041.8888,20.9783124,105.7902096
Hà Nội,Quận Hà Đông,Phường Phúc La,183,13517.84448,20.9675836,105.7895084
Hà Nội,Quận Hà Đông,Phường Phú La,213,13298.12271,20.9580348,105.7641533
Hà Nội,Quận Hà Đông,Phường Vạn Phúc,243,9985.378417,20.9803136,105.7719148
Hà Nội,Quận Hà Đông,Phường Hà Cầu,273,9288.791224,20.9649387,105.7782818
Hà Nội,Quận Hà Đông,Phường Phú Lãm,303,7332.144019,20.9426807,105.7526272
Hà Nội,Quận Hà Đông,Phường Phú Lương,333,7034.586472,20.9397761,105.77085
Hà Nội,Quận Hà Đông,Phường Quang Trung,363,6452.433289,20.971131,105.7714768
Hà Nội,Quận Hà Đông,Phường Nguyễn Trãi,393,3583.235476,20.9716052,105.7788376
Hà Nội,Quận Hà Đông,Phường Yết Kiêu,423,3347.45384,20.974822,105.778107
Hà Nội,Quận Hà Đông,Phường Đồng Mai,453,3232.571594,20.9281504,105.7396539
Hà Nội,Quận Hà Đông,Phường Biên Giang,483,2985.356539,20.9295202,105.7223742
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,4,37771.66239,21.0103232,105.7994479
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,34,31389.76372,21.0218105,105.7924411
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,64,28702.1867,21.0365503,105.7858195
Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,94,18783.85627,21.0409079,105.7750351
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,124,18262.40406,21.0350602,105.793398
Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,154,15837.59868,21.0369183,105.801915
Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,184,15696.02005,21.0469903,105.8027493
Hà Nội,Quận Cầu Giấy,Phường Nghĩa Tân,214,7395.078087,21.045681,105.7910701
Hà Nội,Quận Đống Đa,Phường Láng Thượng,5,20052.74848,21.0231298,105.8045056
Hà Nội,Quận Đống Đa,Phường Láng Hạ,35,17343.1289,21.0148521,105.8116394
Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,65,17289.84786,21.0213924,105.8250224
Hà Nội,Quận Đống Đa,Phường Trung Liệt,95,12444.96392,21.0113515,105.8220568
Hà Nội,Quận Đống Đa,Phường Phương Mai,125,8226.731128,21.0024722,105.8381645
Hà Nội,Quận Đống Đa,Phường Khương Thượng,155,6825.489731,21.0022547,105.8285089
Hà Nội,Quận Đống Đa,Phường Quang Trung,185,6628.766617,21.0110941,105.8261016
Hà Nội,Quận Đống Đa,Phường Thịnh Quang,215,6581.902718,21.0085471,105.8174276
Hà Nội,Quận Đống Đa,Phường Hàng Bột,245,6121.119405,21.0228224,105.8310628
Hà Nội,Quận Đống Đa,Phường Nam Đồng,275,5958.323135,21.0142024,105.8307418
Hà Nội,Quận Đống Đa,Phường Cát Linh,305,5729.447496,21.0290379,105.8282952
Hà Nội,Quận Đống Đa,Phường Kim Liên,335,5670.157109,21.0062371,105.835247
Hà Nội,Quận Đống Đa,Phường Thổ Quan,365,5403.520282,21.0182944,105.8336342
Hà Nội,Quận Đống Đa,Phường Phương Liên,395,5338.560923,21.0113036,105.8374382
Hà Nội,Quận Đống Đa,Phường Trung Tự,425,5249.953625,21.0113036,105.8374382
Hà Nội,Quận Đống Đa,Phường Trung Phụng,455,4143.513224,21.015863,105.837778
Hà Nội,Quận Đống Đa,Phường Ngã Tư Sở,485,3875.677398,21.0035184,105.8213842
Hà Nội,Quận Đống Đa,Phường Văn Chương,515,3812.658093,21.0230988,105.836732
Hà Nội,Quận Đống Đa,Phường Khâm Thiên,545,3457.14118,21.0192241,105.8390581
Hà Nội,Quận Đống Đa,Phường Văn Miếu,575,3415.064767,21.0264458,105.839409
Hà Nội,Quận Đống Đa,Phường Quốc Tử Giám,605,3309.740541,21.0264458,105.839409
Hà Nội,Quận Thanh Xuân,Phường Nhân Chính,6,32263.08947,21.0039313,105.8046282
